player_id,hero_name,map_name,map_winrate
-oo- <---MyPig,Angela,Arakko,1.0
-oo- <---MyPig,Angela,Central Park,1.0
-oo- <---MyPig,Angela,Heart Of Heaven,1.0
-oo- <---MyPig,Angela,Hell's Heaven,1.0
-oo- <---MyPig,Angela,Spider-Islands,0.5
-oo- <---MyPig,Emma Frost,Birnin T'Challa,0.5
-oo- <---MyPig,Emma Frost,Central Park,0.0
-oo- <---MyPig,Emma Frost,Heart Of Heaven,1.0
-oo- <---MyPig,Emma Frost,Hell's Heaven,0.0
-oo- <---MyPig,Emma Frost,Spider-Islands,1.0
-oo- <---MyPig,Emma Frost,Symbiotic Surface,1.0
-oo- <---MyPig,Emma Frost,Yggdrasill Path,0.0
-oo- <---MyPig,Groot,Birnin T'Challa,0.0
-oo- <---MyPig,Groot,Hall Of Djalia,1.0
-oo- <---MyPig,Groot,Midtown,0.0
-oo- <---MyPig,Groot,Symbiotic Surface,1.0
-oo- <---MyPig,Groot,Yggdrasill Path,0.0
-oo- <---MyPig,Magneto,Birnin T'Challa,1.0
-oo- <---MyPig,Wolverine,Celestial Husk,0.0
-oo- <---MyPig,Wolverine,Hell's Heaven,0.0
.Flo,Adam Warlock,Arakko,0.0
.Flo,Hela,Birnin T'Challa,1.0
.Flo,Hela,Celestial Husk,0.0
.Flo,Hela,Hell's Heaven,0.6666666666666666
.Flo,Hela,Krakoa,0.0
.Flo,Hela,Midtown,0.0
.Flo,Hela,Spider-Islands,0.0
.Flo,Phoenix,Birnin T'Challa,1.0
.Flo,Phoenix,Central Park,1.0
.Flo,Phoenix,Hall Of Djalia,1.0
.Flo,Phoenix,Heart Of Heaven,1.0
.Flo,Phoenix,Krakoa,0.5
.Flo,Phoenix,Midtown,1.0
.Flo,Phoenix,Spider-Islands,0.0
.Flo,Phoenix,Symbiotic Surface,1.0
.Flo,Psylocke,Arakko,0.0
.Flo,Rocket Raccoon,Central Park,1.0
.Flo,Star-Lord,Central Park,0.0
.Flo,Star-Lord,Krakoa,1.0
.Itami.,Jeff The Land Shark,Arakko,1.0
.Itami.,Jeff The Land Shark,Birnin T'Challa,0.0
.Itami.,Jeff The Land Shark,Celestial Husk,1.0
.Itami.,Jeff The Land Shark,Central Park,0.5
.Itami.,Jeff The Land Shark,Hall Of Djalia,0.6666666666666666
.Itami.,Jeff The Land Shark,Heart Of Heaven,1.0
.Itami.,Jeff The Land Shark,Hell's Heaven,1.0
.Itami.,Jeff The Land Shark,Midtown,0.0
.Itami.,Jeff The Land Shark,Spider-Islands,0.0
.Itami.,Jeff The Land Shark,Symbiotic Surface,1.0
.Itami.,Jeff The Land Shark,Yggdrasill Path,0.3333333333333333
.Tanooki.,Angela,Heart Of Heaven,1.0
.Tanooki.,Angela,Hell's Heaven,1.0
.Tanooki.,Gambit,Birnin T'Challa,1.0
.Tanooki.,Gambit,Central Park,1.0
.Tanooki.,Gambit,Hall Of Djalia,1.0
.Tanooki.,Gambit,Hell's Heaven,1.0
.Tanooki.,Gambit,Krakoa,0.5
.Tanooki.,Gambit,Midtown,0.0
.Tanooki.,Gambit,Spider-Islands,1.0
.Tanooki.,Gambit,Symbiotic Surface,0.0
.Tanooki.,Gambit,Yggdrasill Path,0.0
.Tanooki.,Magneto,Symbiotic Surface,1.0
.Tanooki.,Mantis,Hall Of Djalia,0.0
