hero_name,win_rate,game_count
"Adam Warlock, Adam Warlock, Bruce Banner, Gambit, Phoenix, Scarlet Witch",0.0,1
"Adam Warlock, Angela, Bruce Banner, Gambit, Invisible Woman, Phoenix",1.0,1
"Adam Warlock, Angela, Captain America, Cloak & Dagger, Peni Parker, Rocket Raccoon",0.0,1
"Adam Warlock, Angela, Captain America, Daredevil, Invisible Woman, Wolverine",0.0,1
"Adam Warlock, Angela, Captain America, Hela, Jeff The Land Shark, Rocket Raccoon",0.0,1
"Adam Warlock, Angela, Captain America, Mantis, Psylocke, Rocket Raccoon",1.0,1
"Adam Warlock, Angela, Cloak & Dagger, Jeff The Land Shark, Magik, Magneto",1.0,1
"Adam Warlock, Angela, Daredevil, Emma Frost, Invisible Woman, Mantis",0.0,1
"Adam Warlock, Angela, Daredevil, Emma Frost, Jeff The Land Shark, Psylocke",0.0,1
"Adam Warlock, Angela, Daredevil, Luna Snow, Rocket Raccoon, Star-Lord",0.0,1
"Adam Warlock, Angela, Daredevil, Mantis, Rocket Raccoon, The Thing",1.0,1
"Adam Warlock, Angela, Doctor Strange, Invisible Woman, Iron Fist, Phoenix",0.0,1
"Adam Warlock, Angela, Emma Frost, Gambit, Invisible Woman, Phoenix",1.0,2
"Adam Warlock, Angela, Emma Frost, Gambit, Mantis, Psylocke",1.0,1
"Adam Warlock, Angela, Emma Frost, Gambit, Spider-Man, Star-Lord",0.0,1
"Adam Warlock, Angela, Emma Frost, Hela, Jeff The Land Shark, Luna Snow",1.0,1
"Adam Warlock, Angela, Emma Frost, Invisible Woman, Mantis, Phoenix",1.0,1
"Adam Warlock, Angela, Emma Frost, Invisible Woman, Mantis, Winter Soldier",1.0,1
"Adam Warlock, Angela, Emma Frost, Invisible Woman, Mister Fantastic, Rocket Raccoon",0.0,1
"Adam Warlock, Angela, Emma Frost, Invisible Woman, Phoenix, Psylocke",0.0,1
"Adam Warlock, Angela, Emma Frost, Invisible Woman, Winter Soldier, Wolverine",1.0,1
"Adam Warlock, Angela, Emma Frost, Loki, Psylocke, Winter Soldier",0.0,1
"Adam Warlock, Angela, Emma Frost, Luna Snow, Rocket Raccoon, The Punisher",0.0,1
"Adam Warlock, Angela, Gambit, Hela, Invisible Woman, Magneto",0.0,1
"Adam Warlock, Angela, Gambit, Hela, Magneto, Namor",1.0,1
"Adam Warlock, Angela, Gambit, Invisible Woman, Magneto, Psylocke",1.0,1
"Adam Warlock, Angela, Gambit, Invisible Woman, Magneto, The Punisher",1.0,1
"Adam Warlock, Angela, Gambit, Loki, Magneto, Phoenix",1.0,1
"Adam Warlock, Angela, Gambit, Magneto, Mantis, Star-Lord",1.0,1
"Adam Warlock, Angela, Groot, Hawkeye, Jeff The Land Shark, Ultron",0.0,1
"Adam Warlock, Angela, Groot, Invisible Woman, Luna Snow, Phoenix",0.0,1
"Adam Warlock, Angela, Groot, Invisible Woman, Magneto, Phoenix",1.0,1
"Adam Warlock, Angela, Groot, Jeff The Land Shark, Mantis, Star-Lord",1.0,1
"Adam Warlock, Angela, Hawkeye, Invisible Woman, Magneto, Mantis",1.0,1
"Adam Warlock, Angela, Hela, Invisible Woman, Mantis, Venom",0.0,1
"Adam Warlock, Angela, Hela, Luna Snow, Mantis, Thor",0.0,1
"Adam Warlock, Angela, Hela, Magneto, Namor, Rocket Raccoon",1.0,1
"Adam Warlock, Angela, Hela, Phoenix, Rocket Raccoon, Ultron",1.0,1
"Adam Warlock, Angela, Invisible Woman, Magik, Phoenix, Thor",1.0,1
"Adam Warlock, Angela, Invisible Woman, Magneto, Mantis, Phoenix",1.0,1
"Adam Warlock, Angela, Invisible Woman, Magneto, Mantis, Psylocke",1.0,1
