player_id,hero_name,map_mode,mode_winrate
-oo- <---MyPig,Angela,Convergence,1.0
-oo- <---MyPig,Angela,Convoy,0.6666666666666666
-oo- <---MyPig,Angela,Domination,1.0
-oo- <---MyPig,Emma Frost,Convergence,0.6666666666666666
-oo- <---MyPig,Emma Frost,Convoy,0.3333333333333333
-oo- <---MyPig,Emma Frost,Domination,0.3333333333333333
-oo- <---MyPig,Groot,Convergence,1.0
-oo- <---MyPig,Groot,Convoy,0.0
-oo- <---MyPig,Groot,Domination,0.0
-oo- <---MyPig,Magneto,Domination,1.0
-oo- <---MyPig,Wolverine,Domination,0.0
.Flo,Adam Warlock,Convoy,0.0
.Flo,Hela,Convoy,0.0
.Flo,Hela,Domination,0.5
.Flo,Phoenix,Convergence,1.0
.Flo,Phoenix,Convoy,0.6666666666666666
.Flo,Phoenix,Domination,0.75
.Flo,Psylocke,Convoy,0.0
.Flo,Rocket Raccoon,Convergence,1.0
.Flo,Star-Lord,Convergence,0.0
.Flo,Star-Lord,Domination,1.0
.Itami.,Jeff The Land Shark,Convergence,0.75
.Itami.,Jeff The Land Shark,Convoy,0.2857142857142857
.Itami.,Jeff The Land Shark,Domination,0.9
.Tanooki.,Angela,Convergence,1.0
.Tanooki.,Angela,Domination,1.0
.Tanooki.,Gambit,Convergence,0.75
.Tanooki.,Gambit,Convoy,0.4
.Tanooki.,Gambit,Domination,0.75
.Tanooki.,Magneto,Convergence,1.0
.Tanooki.,Mantis,Convergence,0.0
.Tanooki.,Mantis,Convoy,1.0
.Tanooki.,Mantis,Domination,1.0
.Tanooki.,Namor,Domination,1.0
.Tanooki.,Phoenix,Convergence,0.0
.Tanooki.,Phoenix,Convoy,1.0
.Tanooki.,Squirrel Girl,Convoy,1.0
.Tanooki.,Storm,Convoy,0.0
100T Lopez,Bruce Banner,Convoy,1.0
100T Lopez,Captain America,Convergence,1.0
100T Lopez,Groot,Convergence,0.8888888888888888
100T Lopez,Groot,Convoy,0.5
100T Lopez,Groot,Domination,0.75
100T Lopez,Magneto,Domination,0.5
100T Lopez,The Thing,Convoy,1.0
100T TTK,Angela,Convergence,1.0
100T TTK,Angela,Convoy,0.5
100T TTK,Angela,Domination,0.3333333333333333
100T TTK,Emma Frost,Convergence,1.0
100T TTK,Emma Frost,Convoy,0.8
100T TTK,Emma Frost,Domination,0.8333333333333334
100T TTK,Magneto,Convergence,1.0
100T TTK,Magneto,Convoy,0.0
100T TTK,Magneto,Domination,1.0
1Ø0,Gambit,Convergence,1.0
1Ø0,Gambit,Convoy,0.0
1Ø0,Hela,Convergence,0.5
1Ø0,Hela,Convoy,0.5
1Ø0,Phoenix,Convergence,1.0
1Ø0,Phoenix,Convoy,0.8
1Ø0,Phoenix,Domination,0.5
1Ø0,Psylocke,Convergence,0.0
1Ø0,Psylocke,Domination,1.0
1Ø0,Star-Lord,Convergence,1.0
1Ø0,Star-Lord,Convoy,0.0
2025 respect,Emma Frost,Convergence,1.0
2025 respect,Emma Frost,Convoy,0.0
2025 respect,Gambit,Convergence,0.5
2025 respect,Gambit,Convoy,1.0
2025 respect,Invisible Woman,Domination,0.0
2025 respect,Jeff The Land Shark,Convergence,1.0
2025 respect,Jeff The Land Shark,Convoy,1.0
2025 respect,Loki,Convergence,0.0
2025 respect,Loki,Convoy,1.0
2025 respect,Loki,Domination,1.0
2025 respect,Magneto,Convergence,1.0
2025 respect,Magneto,Convoy,0.0
2025 respect,Magneto,Domination,0.0
2025 respect,Moon Knight,Convoy,1.0
2025 respect,Moon Knight,Domination,1.0
2025 respect,Psylocke,Convoy,1.0
2025 respect,Rocket Raccoon,Convergence,1.0
6DABi,Gambit,Convergence,0.8
6DABi,Gambit,Convoy,0.75
6DABi,Gambit,Domination,0.75
6DABi,Invisible Woman,Convoy,0.6666666666666666
6DABi,Loki,Convergence,1.0
6DABi,Magneto,Convergence,0.0
6DABi,Magneto,Convoy,1.0
6DABi,Magneto,Domination,1.0
6DABi,Mantis,Convergence,1.0
6DABi,Venom,Domination,0.0
7second',Emma Frost,Convoy,1.0
7second',Emma Frost,Domination,1.0
7second',Gambit,Convergence,1.0
7second',Gambit,Convoy,1.0
7second',Gambit,Domination,1.0
7second',Invisible Woman,Convergence,0.6666666666666666
7second',Invisible Woman,Convoy,1.0
7second',Invisible Woman,Domination,1.0
7second',Loki,Convergence,1.0
7second',Loki,Domination,1.0
7second',Luna Snow,Convergence,1.0
7second',Luna Snow,Convoy,0.5
7second',Luna Snow,Domination,0.0
7second',Magneto,Domination,1.0
7second',Mantis,Domination,0.0
Ahns,Hela,Convoy,0.5
Ahns,Hela,Domination,0.0
Ahns,Magneto,Convergence,1.0
Ahns,Mantis,Domination,1.0
Ahns,Phoenix,Convergence,1.0
Ahns,Phoenix,Convoy,0.75
Ahns,Phoenix,Domination,0.6666666666666666
Ahns,Psylocke,Convergence,0.5
Ahns,Psylocke,Convoy,0.0
Ahns,Star-Lord,Convergence,0.5
Ahns,Star-Lord,Convoy,1.0
Aleix1RP,Angela,Domination,0.0
Aleix1RP,Gambit,Convergence,0.6666666666666666
Aleix1RP,Gambit,Convoy,0.5
Aleix1RP,Gambit,Domination,0.6666666666666666
Aleix1RP,Invisible Woman,Convoy,1.0
Aleix1RP,Loki,Domination,1.0
Aleix1RP,Luna Snow,Convergence,1.0
Aleix1RP,Mantis,Convergence,0.0
Aleix1RP,Mantis,Convoy,1.0
Aleix1RP,Mantis,Domination,0.5
Aleix1RP,Phoenix,Convergence,0.0
Aleix1RP,Rocket Raccoon,Convergence,0.0
Aleix1RP,Rocket Raccoon,Convoy,0.5
Aleix1RP,Rocket Raccoon,Domination,1.0
AsmallChicken,Daredevil,Convergence,1.0
AsmallChicken,Daredevil,Convoy,1.0
AsmallChicken,Daredevil,Domination,0.5
AsmallChicken,Doctor Strange,Convergence,0.0
AsmallChicken,Emma Frost,Convergence,1.0
AsmallChicken,Emma Frost,Convoy,1.0
AsmallChicken,Emma Frost,Domination,1.0
AsmallChicken,Gambit,Convoy,1.0
AsmallChicken,Luna Snow,Domination,0.0
AsmallChicken,Magik,Convoy,1.0
AsmallChicken,Magik,Domination,1.0
AsmallChicken,Magneto,Convergence,0.0
AsmallChicken,Magneto,Domination,1.0
Astomarpy,Angela,Domination,0.3333333333333333
Astomarpy,Daredevil,Convergence,0.0
Astomarpy,Emma Frost,Convergence,1.0
Astomarpy,Gambit,Convoy,1.0
Astomarpy,Groot,Convergence,0.5
Astomarpy,Groot,Convoy,1.0
Astomarpy,Groot,Domination,0.5
Astomarpy,Loki,Convoy,1.0
Astomarpy,Loki,Domination,0.0
Astomarpy,Magneto,Convergence,0.5
Astomarpy,Magneto,Convoy,0.0
Astomarpy,Magneto,Domination,0.6666666666666666
Astomarpy,Mantis,Domination,1.0
Astomarpy,Rocket Raccoon,Convergence,1.0
Astomarpy,Venom,Convoy,1.0
Astomarpy,Venom,Domination,1.0
Atlas2Much,Cloak & Dagger,Convergence,1.0
Atlas2Much,Moon Knight,Convergence,1.0
Atlas2Much,Rocket Raccoon,Convergence,0.0
Atlas2Much,Rocket Raccoon,Convoy,1.0
Atlas2Much,Spider-Man,Convergence,0.16666666666666666
Atlas2Much,Spider-Man,Convoy,0.8
Atlas2Much,Spider-Man,Domination,0.875
Atlas2Much,The Punisher,Convergence,1.0
Ayanokоji,Emma Frost,Domination,1.0
Ayanokоji,Gambit,Convergence,0.0
Ayanokоji,Gambit,Convoy,1.0
Ayanokоji,Gambit,Domination,0.5
Ayanokоji,Invisible Woman,Convergence,0.0
Ayanokоji,Invisible Woman,Convoy,1.0
Ayanokоji,Invisible Woman,Domination,0.6666666666666666
Ayanokоji,Jeff The Land Shark,Convergence,1.0
Ayanokоji,Jeff The Land Shark,Convoy,0.0
Ayanokоji,Jeff The Land Shark,Domination,1.0
Ayanokоji,Loki,Convergence,0.5
Ayanokоji,Loki,Convoy,1.0
Ayanokоji,Loki,Domination,1.0
Ayanokоji,Magneto,Convergence,0.0
Ayanokоji,Mantis,Convergence,0.0
Ayanokоji,Winter Soldier,Convoy,0.0
B4reBackObama,Hela,Domination,1.0
B4reBackObama,Phoenix,Convergence,0.875
